#,名称,運営会社等,ブランド,給油所名,所在地,種類,ステータス,マッピングに関する特記事項,出典,都道府県,市区町村,市区町村以下,電話番号,緯度・経度,出典最終確認日時,出典確認担当者
1,ecco 八街給油所（有限会社斎藤精米所）,有限会社斎藤精米所,ecco,八街給油所,千葉県 八街市 富山 47,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,八街市,富山 47,043-443-2303,"35.671043, 140.299636",2019-09-13 18:18:29,藤田 周
2,昭和シェル石油 八街給油所（有限会社宮商）,有限会社宮商,昭和シェル石油,八街給油所,千葉県 八街市 八街に 62,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,八街市,八街に 62,043-443-1717,"35.662730, 140.327918",2019-09-13 18:18:29,藤田 周
3,ENEOS 長狭北給油所（アウル鉱油有限会社）,アウル鉱油有限会社,ENEOS,長狭北給油所,千葉県 鴨川市 北風原 877-123,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,鴨川市,北風原 877-123,04-7097-1201,"35.135253, 140.002368",2019-09-13 18:18:29,藤田 周
4,ENEOS 鴨川打墨給油所（アウル鉱油有限会社）,アウル鉱油有限会社,ENEOS,鴨川打墨給油所,千葉県 鴨川市 打墨 845-1-3,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,鴨川市,打墨 845-1-3,04-7092-0147,"35.126715, 140.079967",2019-09-13 18:18:29,藤田 周
5,ENEOS Dr.Drive セルフ鴨川店給油所（日石レオン株式会社）,日石レオン株式会社,ENEOS,Dr.Drive セルフ鴨川店給油所,千葉県 鴨川市 横渚 1102-1,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,鴨川市,横渚 1102-1,04-7093-4120,"35.108613, 140.101264",2019-09-13 18:18:29,藤田 周
6,JA NACS酒々井給油所（成田市農業協同組合）,成田市農業協同組合,JA,NACS酒々井給油所,千葉県 印旛郡 酒々井町 中川字埜原谷津 104-2,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,印旛郡 酒々井町,中川字埜原谷津 104-2,043-496-2036,"35.735939, 140.273260",2019-09-13 18:18:29,藤田 周
7,久留里給油所（有限会社木村屋金物店）,有限会社木村屋金物店,,久留里給油所,千葉県 君津市 久留里市場 515,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,君津市,久留里市場 515,0439-27-3168,"35.297346, 140.075923",2019-09-13 18:18:29,藤田 周
8,ENEOS 君津給油所（有限会社三津和石油）,有限会社三津和石油,ENEOS,君津給油所,"千葉県 君津市 人見 1040-1, 1054",住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,君津市,"人見 1040-1, 1054",0439-52-0822,"35.343407, 139.868856",2019-09-13 18:18:29,藤田 周
9,出光 スーパーセルフ新日鐵前給油所（株式会社東日本エネルギー）,株式会社東日本エネルギー,出光,スーパーセルフ新日鐵前給油所,千葉県 君津市 坂田字浜大津 673-6,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,君津市,坂田字浜大津 673-6,0439-52-2523,"35.344802, 139.881602",2019-09-13 18:18:29,藤田 周
10,出光 スーパーセルフ陽光台給油所（株式会社東日本エネルギー）,株式会社東日本エネルギー,出光,スーパーセルフ陽光台給油所,千葉県 君津市 陽光台 3-2-5,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,君津市,陽光台 3-2-5,0439-57-1511,"35.338300, 139.906318",2019-09-13 18:18:29,藤田 周
11,ENEOS 小糸給油所（有限会社木村商店）,有限会社木村商店,ENEOS,小糸給油所,千葉県 君津市 中島 308,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,君津市,中島 308,0439-32-2021,"35.305709, 139.959126",2019-09-13 18:18:29,藤田 周
12,出光 プリテール四街道給油所（千葉石油株式会社）,千葉石油株式会社,出光,プリテール四街道給油所,千葉県 四街道市 和良比字長作 270-1,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,四街道市,和良比字長作 270-1,043-433-2701,"35.661074, 140.173959",2019-09-13 18:18:29,藤田 周
13,出光 セルフ大日給油所（千葉石油株式会社）,千葉石油株式会社,出光,セルフ大日給油所,千葉県 四街道市 大日字緑ヶ丘 371-1,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,四街道市,大日字緑ヶ丘 371-1,043-421-6528,"35.676615, 140.161445",2019-09-13 18:18:29,藤田 周
14,四街道吉岡給油所（株式会社三石）,株式会社三石,,四街道吉岡給油所,千葉県 四街道市 吉岡 1168-７,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,四街道市,吉岡 1168-７,043-239-0910,"35.643117, 140.205652",2019-09-13 18:18:29,藤田 周
15,ENEOS 八日市場南給油所（有限会社柏熊石油店）,有限会社柏熊石油店,ENEOS,八日市場南給油所,千葉県 匝瑳市 横須賀 936-2,住民拠点サービスステーション,不明,「千葉県 匝瑳市 横須賀 928」にマッピング,"https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html
https://eneos-ss.com/search/ss/pc/detail.php?SCODE=700620",千葉県,匝瑳市,横須賀 936-2,0479-72-0506,"35.688715, 140.553183",2019-09-13 18:18:29,藤田 周
16,ENEOS 飯高給油所（有限会社片山商店）,有限会社片山商店,ENEOS,飯高給油所,千葉県 匝瑳市 飯高 1681-11,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,匝瑳市,飯高 1681-11,0479-74-0515,"35.748668, 140.523738",2019-09-13 18:18:29,藤田 周
17,JA 多古町農協給油所（多古町農業協同組合）,多古町農業協同組合,JA,多古町農協給油所,千葉県 香取郡 多古町 多古 1456-1,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,香取郡 多古町,多古 1456-1,0479-76-2546,"35.730938, 140.468568",2019-09-13 18:18:29,藤田 周
18,ENEOS GOSYO-21給油所（江商石油株式会社）,江商石油株式会社,ENEOS,GOSYO-21給油所,千葉県 成田市 小菅 1147-3,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,成田市,小菅 1147-3,0476-33-1171,"35.784315, 140.362167",2019-09-13 18:18:29,藤田 周
19,出光 大栄インター給油所（飯森石油株式会社）,飯森石油株式会社,出光,大栄インター給油所,千葉県 成田市 所 940-1,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,成田市,所 940-1,047-673-3041,"35.847872, 140.461816",2019-09-13 18:18:29,藤田 周
20,JA 大栄給油所（かとり農業協同組合）,かとり農業協同組合,JA,大栄給油所,千葉県 成田市 伊能 250,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,成田市,伊能 250,0476-73-4989,"35.834952, 140.429940",2019-09-13 18:18:29,藤田 周
21,ENEOS 大栄町給油所（株式会社加登石油）,株式会社加登石油,ENEOS,大栄町給油所,千葉県 成田市 吉岡 1209,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,成田市,吉岡 1209,0476-73-3207,"35.815481, 140.394659",2019-09-13 18:18:29,藤田 周
22,ENEOS 八千代給油所（株式会社山崎商店）,株式会社山崎商店,ENEOS,八千代給油所,千葉県 八千代市 大和田新田 1135-2,住民拠点サービスステーション,不明,「千葉県 八千代市 緑が丘 1丁目2-4」にマッピング,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,八千代市,大和田新田 1135-2,047-459-3531,"35.730640, 140.073455",2019-09-13 18:18:29,藤田 周
23,ENEOS 米本給油所（有限会社サカエヤ）,有限会社サカエヤ,ENEOS,米本給油所,千葉県 八千代市 米本 2168-8,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,八千代市,米本 2168-8,047-488-1058,"35.753362, 140.113212",2019-09-13 18:18:29,藤田 周
24,出光 セルフ都町給油所（千葉石油株式会社）,千葉石油株式会社,出光,セルフ都町給油所,千葉県 千葉市 中央区 都町 1087-3,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,千葉市 中央区,都町 1087-3,043-310-6280,"35.613762, 140.147121",2019-09-13 18:18:29,藤田 周
25,ENEOS Dr.Drive 本町店給油所（日石レオン株式会社）,日石レオン株式会社,ENEOS,Dr.Drive 本町店給油所,千葉県 千葉市 中央区 本町 2-1-23,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,千葉市 中央区,本町 2-1-23,043-224-3716,"35.609647, 140.125335",2019-09-13 18:18:29,藤田 周
26,ENEOS 357号浜野給油所（株式会社東日本宇佐美）,株式会社東日本宇佐美,ENEOS,357号浜野給油所,千葉県 千葉市 中央区 浜野町 1025-258,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,千葉市 中央区,浜野町 1025-258,043-208-3633,"35.556977, 140.125407",2019-09-13 18:18:29,藤田 周
27,コスモ石油 千葉北インター給油所（株式会社キタセキ）,株式会社キタセキ,コスモ石油,千葉北インター給油所,千葉県 千葉市 花見川区 三角町 635-1,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,千葉市 花見川区,三角町 635-1,043-258-5431,"35.675305, 140.123003",2019-09-13 18:18:29,藤田 周
28,ENEOS １６号千葉北インター給油所（株式会社東日本宇佐美）,株式会社東日本宇佐美,ENEOS,１６号千葉北インター給油所,千葉県 千葉市 花見川区 横戸町 1102-6,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,千葉市 花見川区,横戸町 1102-6,047-481-4170,"35.699874, 140.119138",2019-09-13 18:18:29,藤田 周
29,出光 フォーユーステーション小中台給油所（ヤブサキ産業株式会社）,ヤブサキ産業株式会社,出光,フォーユーステーション小中台給油所,千葉県 千葉市 稲毛区 小中台町 344-1,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,千葉市 稲毛区,小中台町 344-1,043-251-1008,"35.650593, 140.095503",2019-09-13 18:18:29,藤田 周
30,JA 千葉若葉店給油所（全農エネルギー株式会社）,全農エネルギー株式会社,JA,千葉若葉店給油所,千葉県 千葉市 若葉区 高品町 93-1,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,千葉市 若葉区,高品町 93-1,043-214-2311,"35.624491, 140.139450",2019-09-13 18:18:29,藤田 周
31,出光 フォーユーステーション千城台給油所（ヤブサキ産業株式会社）,ヤブサキ産業株式会社,出光,フォーユーステーション千城台給油所,千葉県 千葉市 若葉区 小倉町 871-22,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,千葉市 若葉区,小倉町 871-22,043-231-9815,"35.623165, 140.176830",2019-09-13 18:18:29,藤田 周
32,ENEOS グリーンスポットおゆみ野給油所（青木石油商事株式会社）,青木石油商事株式会社,ENEOS,グリーンスポットおゆみ野給油所,千葉県 千葉市 緑区 おゆみ野南 6-14-2,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,千葉市 緑区,おゆみ野南 6-14-2,043-292-5770,"35.543244, 140.183850",2019-09-13 18:18:29,藤田 周
33,ENEOS 平山給油所（株式会社山下商店）,株式会社山下商店,ENEOS,平山給油所,千葉県 千葉市 緑区 平山町 1925,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,千葉市 緑区,平山町 1925,043-261-0012,"35.572833, 140.171019",2019-09-13 18:18:29,藤田 周
34,ENEOS Dr.Drive セルフ高洲店給油所（日石レオン株式会社）,日石レオン株式会社,ENEOS,Dr.Drive セルフ高洲店給油所,千葉県 千葉市 美浜区 高洲 1-19-1,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,千葉市 美浜区,高洲 1-19-1,043-278-1881,"35.630879, 140.074108",2019-09-13 18:18:29,藤田 周